,conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version,is_drone_conflict_in_this_year
16,11346,Libya,Government of Libya,111,,"Forces of Muammar Gaddafi, NTC","1127, 1126",,2,,2011,2,1,3,2011-02-28,1,2011-03-04,1,1,2011-11-23,,620,,,,620,4,20.1,True
21,11346,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,,2,,2019,2,1,3,2011-02-28,1,2019-02-21,2,0,,,620,,,,620,4,20.1,True
30,11347,Mali,Government of Mali,72,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Canada, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Egypt, Government of El Salvador, Government of Estonia, Government of Ethiopia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guatemala, Government of Guinea, Government of Indonesia, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Lithuania, Government of Madagascar, Government of Mauritania, Government of Mexico, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Pakistan, Government of Portugal, Government of Romania, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Sri Lanka, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of Ukraine, Government of United Kingdom, Government of United States of America",JNIM,6716,,2,,2019,1,1,4,2009-06-10,1,2012-01-24,1,0,,,432,"371, 305, 771, 211, 434, 760, 346, 439, 516, 811, 471, 20, 483, 710, 316, 390, 651, 92, 366, 530, 375, 220, 420, 260, 452, 90, 438, 850, 205, 325, 437, 663, 501, 367, 450, 368, 580, 435, 70, 790, 210, 436, 475, 385, 770, 235, 360, 433, 451, 230, 780, 380, 225, 461, 616, 640, 369, 200, 2",,,432,4,20.1,True
53,13306,Ukraine,Government of Ukraine,61,,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),1,Novorossiya,2014,2,1,4,2014-09-17,1,2014-09-25,3,0,,,369,,,365,369,1,20.1,True
67,13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,1,Islamic State,2016,2,1,4,2013-05-13,1,2013-07-27,2,0,,,652,"630, 365",,,652,2,20.1,True
68,13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,1,Islamic State,2017,2,1,4,2013-05-13,1,2013-07-27,2,0,,,652,"630, 365",,,652,2,20.1,True
70,13604,Syria,Government of Syria,118,"Government of Iran, Government of Russia (Soviet Union)",IS,234,,1,Islamic State,2019,1,1,4,2013-05-13,1,2013-07-27,2,0,,,652,"630, 365",,,652,2,20.1,True
72,13637,Afghanistan,Government of Afghanistan,130,"Government of Pakistan, Government of United States of America",IS,234,,1,Islamic State,2015,1,0,4,2015-02-09,1,2015-03-03,1,0,,,700,"770, 2",,,700,3,20.1,True
73,13637,Afghanistan,Government of Afghanistan,130,"Government of Pakistan, Government of United States of America",IS,234,,1,Islamic State,2016,2,1,4,2015-02-09,1,2015-03-03,1,0,,,700,"770, 2",,,700,3,20.1,True
74,13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,1,Islamic State,2017,2,1,4,2015-02-09,1,2015-03-03,1,0,,,700,2,,,700,3,20.1,True
75,13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,1,Islamic State,2018,2,1,4,2015-02-09,1,2015-03-03,1,0,,,700,2,,,700,3,20.1,True
76,13637,Afghanistan,Government of Afghanistan,130,Government of United States of America,IS,234,,1,Islamic State,2019,2,1,4,2015-02-09,1,2015-03-03,1,0,,,700,2,,,700,3,20.1,True
140,14197,Somalia,Government of Somalia,95,Government of United States of America,IS,234,,1,Islamic State,2019,1,0,4,2018-02-08,2,2019-06-04,1,0,,,520,2,,,520,4,20.1,True
148,14609,"Iran, Israel",Government of Iran,114,,Government of Israel,121,,2,,2019,1,0,2,2018-02-10,1,2018-04-29,1,0,,,630,,666,,"630, 666",2,20.1,True
259,209,Philippines,Government of Philippines,154,,CPP,169,,2,,2018,1,1,3,1946-07-31,4,1999-06-06,1,0,,,840,,,,840,3,20.1,True
540,230,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2009,1,1,4,1948-03-15,4,2009-12-17,1,0,,,678,2,,,678,2,20.1,True
542,230,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2011,2,1,4,1948-03-15,4,2009-12-17,1,0,,,678,2,,,678,2,20.1,True
543,230,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2012,2,1,4,1948-03-15,4,2009-12-17,1,0,,,678,2,,,678,2,20.1,True
544,230,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,AQAP,881,,2,,2013,1,1,4,1948-03-15,4,2009-12-17,1,0,,,678,2,,,678,2,20.1,True
545,230,Yemen (North Yemen),Government of Yemen (North Yemen),123,Government of United States of America,"Ansarallah, AQAP","1091, 881",,2,,2014,2,1,4,1948-03-15,4,2009-12-17,1,0,,,678,2,,,678,2,20.1,True
